Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
GIRONA,VALLADOLID,0-0,0-0,1.7,6.6,5.7,68,32,10.0,1.0,13.0,2.0,3.0,29.0,85.0,35.0,14.0,21.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,21.0,63.0,21.0,30.0,20.0,1.0,0.0,0.0
REAL BETIS,LEVANTE,0-3,0-1,5.8,6.0,7.1,77,23,10.0,8.0,22.0,4.0,5.0,22.0,91.0,16.0,14.0,10.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,3.0,18.0,65.0,10.0,35.0,10.0,2.0,0.0,0.0
CELTA,ESPANYOL,1-1,0-1,4.5,6.3,6.5,48,52,8.0,2.0,12.0,2.0,8.0,16.0,80.0,16.0,15.0,13.0,3.0,0.0,0.0,4.0,5.0,14.0,5.0,7.0,18.0,80.0,9.0,18.0,14.0,2.0,0.0,0.0
VILLARREAL,REAL SOCIEDAD,1-2,1-1,5.9,5.5,6.5,52,48,3.0,7.0,16.0,6.0,4.0,23.0,79.0,17.0,10.0,16.0,2.0,0.0,0.0,4.0,4.0,9.0,1.0,6.0,24.0,78.0,19.0,20.0,10.0,3.0,0.0,0.0
BARCELONA,ALAVÉS,3-0,0-0,6.2,7.9,5.0,79,21,12.0,9.0,25.0,4.0,7.0,26.0,90.0,14.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,6.0,66.0,2.0,35.0,13.0,2.0,0.0,0.0
EIBAR,HUESCA,1-2,0-2,5.8,4.9,7.4,69,31,8.0,6.0,18.0,4.0,7.0,27.0,82.0,23.0,5.0,12.0,1.0,0.0,0.0,1.0,6.0,8.0,1.0,0.0,16.0,67.0,22.0,49.0,13.0,1.0,0.0,0.0
RAYO VALLECANO,SEVILLA FC,1-4,0-3,6.3,4.9,7.5,48,52,5.0,2.0,13.0,6.0,2.0,25.0,84.0,14.0,23.0,6.0,1.0,0.0,0.0,7.0,8.0,17.0,2.0,6.0,22.0,84.0,10.0,17.0,15.0,0.0,0.0,0.0
REAL MADRID,GETAFE,2-0,1-0,3.9,7.3,5.0,78,22,5.0,3.0,10.0,2.0,3.0,23.0,91.0,11.0,8.0,11.0,1.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,17.0,65.0,8.0,14.0,28.0,7.0,0.0,0.0
VALENCIA,ATLETICO MADRID,1-1,0-1,5.0,6.6,6.4,51,49,8.0,4.0,13.0,1.0,4.0,20.0,83.0,19.0,31.0,10.0,2.0,0.0,0.0,3.0,3.0,9.0,3.0,10.0,19.0,80.0,17.0,17.0,15.0,3.0,0.0,0.0
ATHLETIC,LEGANÉS,2-1,1-1,5.9,6.3,5.4,66,34,9.0,5.0,17.0,3.0,6.0,19.0,84.0,26.0,16.0,12.0,4.0,0.0,0.0,7.0,2.0,11.0,2.0,2.0,23.0,70.0,30.0,28.0,13.0,5.0,0.0,0.0
GETAFE,EIBAR,2-0,1-0,3.8,6.3,5.4,36,64,3.0,4.0,7.0,0.0,5.0,38.0,52.0,22.0,43.0,14.0,2.0,0.0,0.0,8.0,0.0,9.0,1.0,5.0,32.0,64.0,26.0,10.0,11.0,1.0,0.0,0.0
LEGANÉS,REAL SOCIEDAD,2-2,0-2,7.5,5.8,6.3,67,33,9.0,5.0,18.0,4.0,5.0,26.0,82.0,29.0,4.0,12.0,1.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,14.0,66.0,33.0,42.0,9.0,2.0,0.0,0.0
ALAVÉS,REAL BETIS,0-0,0-0,3.0,6.0,6.4,33,67,8.0,4.0,16.0,4.0,5.0,25.0,71.0,6.0,22.0,17.0,3.0,0.0,0.0,3.0,5.0,12.0,4.0,6.0,16.0,86.0,24.0,28.0,15.0,1.0,0.0,0.0
ATLETICO MADRID,RAYO VALLECANO,1-0,0-0,3.3,6.5,6.3,47,53,5.0,2.0,9.0,2.0,8.0,23.0,78.0,13.0,18.0,7.0,1.0,0.0,0.0,8.0,3.0,13.0,2.0,5.0,25.0,83.0,4.0,24.0,8.0,1.0,0.0,0.0
VALLADOLID,BARCELONA,0-1,0-0,3.6,6.0,6.8,36,64,3.0,4.0,7.0,0.0,6.0,10.0,75.0,9.0,21.0,13.0,1.0,0.0,0.0,4.0,5.0,10.0,1.0,10.0,23.0,85.0,12.0,10.0,11.0,1.0,0.0,0.0
ESPANYOL,VALENCIA,2-0,0-0,5.5,7.5,5.6,48,52,5.0,9.0,19.0,5.0,6.0,25.0,83.0,14.0,33.0,16.0,1.0,0.0,0.0,2.0,4.0,16.0,10.0,10.0,17.0,81.0,6.0,21.0,12.0,1.0,0.0,0.0
SEVILLA FC,VILLARREAL,0-0,0-0,3.5,5.9,7.0,52,48,9.0,2.0,19.0,8.0,4.0,28.0,85.0,11.0,15.0,13.0,3.0,0.0,0.0,3.0,6.0,15.0,6.0,5.0,18.0,84.0,14.0,38.0,14.0,2.0,0.0,0.0
GIRONA,REAL MADRID,1-4,1-1,6.6,4.4,7.5,34,66,3.0,5.0,10.0,2.0,4.0,12.0,77.0,13.0,23.0,13.0,2.0,0.0,0.0,7.0,8.0,20.0,5.0,7.0,19.0,90.0,12.0,19.0,11.0,3.0,0.0,0.0
LEVANTE,CELTA,1-2,0-2,7.3,5.2,7.0,55,45,5.0,6.0,15.0,4.0,7.0,22.0,81.0,9.0,10.0,14.0,2.0,0.0,0.0,8.0,9.0,21.0,4.0,7.0,9.0,81.0,23.0,34.0,8.0,3.0,0.0,0.0
ATHLETIC,HUESCA,2-2,0-0,7.9,6.0,6.8,59,41,6.0,4.0,14.0,4.0,3.0,20.0,83.0,25.0,17.0,15.0,2.0,0.0,0.0,4.0,4.0,9.0,1.0,2.0,24.0,74.0,17.0,17.0,16.0,2.0,0.0,0.0
GETAFE,VALLADOLID,0-0,0-0,2.7,6.1,6.6,53,47,4.0,3.0,12.0,5.0,6.0,38.0,72.0,28.0,25.0,22.0,3.0,0.0,0.0,2.0,4.0,7.0,1.0,7.0,27.0,65.0,13.0,24.0,14.0,1.0,0.0,0.0
VILLARREAL,GIRONA,0-1,0-0,4.0,5.2,7.3,66,34,6.0,3.0,13.0,4.0,7.0,22.0,86.0,14.0,9.0,16.0,3.0,0.0,0.0,5.0,6.0,14.0,3.0,2.0,16.0,74.0,14.0,27.0,11.0,2.0,0.0,0.0
EIBAR,REAL SOCIEDAD,2-1,1-1,4.8,5.9,5.5,58,42,4.0,2.0,8.0,2.0,4.0,29.0,66.0,43.0,16.0,17.0,3.0,0.0,0.0,3.0,2.0,7.0,2.0,2.0,30.0,56.0,35.0,31.0,15.0,2.0,0.0,0.0
CELTA,ATLETICO MADRID,2-0,0-0,4.1,7.1,5.3,50,50,5.0,4.0,10.0,1.0,2.0,14.0,84.0,20.0,33.0,12.0,4.0,0.0,0.0,4.0,0.0,10.0,6.0,8.0,14.0,81.0,17.0,12.0,14.0,4.0,1.0,0.0
REAL MADRID,LEGANÉS,4-1,1-1,6.2,7.7,4.5,77,23,6.0,8.0,17.0,3.0,8.0,20.0,92.0,19.0,6.0,11.0,1.0,0.0,0.0,2.0,3.0,8.0,3.0,1.0,15.0,74.0,16.0,22.0,11.0,1.0,0.0,0.0
LEVANTE,VALENCIA,2-2,2-1,8.2,5.9,6.5,46,54,6.0,4.0,13.0,3.0,3.0,19.0,79.0,10.0,21.0,14.0,3.0,1.0,0.0,9.0,5.0,18.0,4.0,5.0,16.0,81.0,11.0,25.0,10.0,2.0,0.0,0.0
ALAVÉS,ESPANYOL,2-1,0-1,5.8,5.8,5.9,37,63,3.0,5.0,8.0,0.0,0.0,25.0,73.0,16.0,41.0,19.0,4.0,0.0,0.0,2.0,7.0,11.0,2.0,12.0,18.0,80.0,15.0,10.0,13.0,3.0,0.0,0.0
BARCELONA,HUESCA,8-2,3-2,9.3,9.1,3.1,68,32,12.0,14.0,30.0,4.0,9.0,12.0,91.0,7.0,9.0,6.0,1.0,0.0,0.0,2.0,3.0,7.0,2.0,4.0,9.0,80.0,5.0,23.0,12.0,2.0,0.0,0.0
REAL BETIS,SEVILLA FC,1-0,0-0,3.9,6.4,5.5,62,38,4.0,3.0,11.0,4.0,5.0,23.0,84.0,14.0,21.0,15.0,3.0,0.0,0.0,5.0,2.0,8.0,1.0,8.0,13.0,73.0,19.0,13.0,17.0,5.0,1.0,0.0
RAYO VALLECANO,ATHLETIC,1-1,1-0,4.7,6.6,6.6,34,66,4.0,3.0,11.0,4.0,5.0,30.0,77.0,10.0,20.0,14.0,1.0,0.0,0.0,6.0,4.0,11.0,1.0,4.0,26.0,83.0,20.0,25.0,9.0,1.0,0.0,0.0
HUESCA,RAYO VALLECANO,0-1,0-1,3.9,5.9,6.8,54,46,8.0,4.0,14.0,2.0,6.0,36.0,79.0,19.0,14.0,16.0,2.0,0.0,0.0,2.0,2.0,14.0,10.0,3.0,15.0,81.0,13.0,34.0,18.0,1.0,0.0,0.0
ATLETICO MADRID,EIBAR,1-1,0-0,6.9,6.9,6.0,57,43,6.0,9.0,19.0,4.0,14.0,38.0,77.0,30.0,18.0,5.0,2.0,0.0,0.0,6.0,3.0,12.0,3.0,3.0,14.0,70.0,22.0,50.0,21.0,2.0,0.0,0.0
REAL SOCIEDAD,BARCELONA,1-2,1-0,5.6,6.2,7.2,31,69,2.0,5.0,8.0,1.0,1.0,18.0,76.0,10.0,17.0,18.0,1.0,0.0,0.0,5.0,6.0,12.0,1.0,6.0,15.0,88.0,14.0,5.0,8.0,1.0,0.0,0.0
VALENCIA,REAL BETIS,0-0,0-0,3.2,5.5,7.1,39,61,7.0,2.0,12.0,3.0,5.0,19.0,80.0,16.0,7.0,22.0,6.0,0.0,0.0,4.0,6.0,11.0,1.0,4.0,9.0,90.0,8.0,27.0,9.0,3.0,0.0,0.0
ATHLETIC,REAL MADRID,1-1,1-0,5.0,6.1,6.5,40,60,6.0,4.0,12.0,2.0,1.0,11.0,82.0,14.0,22.0,19.0,6.0,0.0,0.0,9.0,6.0,16.0,1.0,2.0,26.0,88.0,12.0,9.0,7.0,2.0,0.0,0.0
LEGANÉS,VILLARREAL,0-1,0-0,3.7,5.0,6.2,46,54,9.0,3.0,16.0,4.0,6.0,21.0,80.0,19.0,9.0,16.0,4.0,0.0,0.0,5.0,3.0,9.0,1.0,1.0,15.0,83.0,15.0,26.0,9.0,3.0,0.0,0.0
ESPANYOL,LEVANTE,1-0,0-0,4.6,6.9,5.3,57,43,12.0,9.0,23.0,2.0,5.0,17.0,83.0,14.0,11.0,17.0,1.0,0.0,0.0,8.0,4.0,16.0,4.0,4.0,20.0,77.0,13.0,14.0,13.0,2.0,0.0,0.0
VALLADOLID,ALAVÉS,0-1,0-0,4.2,5.7,6.8,58,42,6.0,5.0,15.0,4.0,7.0,18.0,84.0,22.0,18.0,9.0,3.0,0.0,0.0,4.0,4.0,10.0,2.0,2.0,24.0,77.0,21.0,30.0,12.0,2.0,0.0,0.0
SEVILLA FC,GETAFE,0-2,0-2,4.0,5.0,6.8,70,30,9.0,1.0,15.0,5.0,7.0,23.0,82.0,17.0,8.0,10.0,3.0,0.0,0.0,4.0,5.0,10.0,1.0,1.0,18.0,65.0,17.0,48.0,22.0,6.0,0.0,0.0
GIRONA,CELTA,3-2,2-1,8.9,7.0,5.0,34,66,5.0,6.0,11.0,0.0,3.0,7.0,73.0,17.0,23.0,15.0,1.0,0.0,0.0,5.0,7.0,20.0,8.0,1.0,29.0,89.0,26.0,12.0,11.0,2.0,1.0,0.0
HUESCA,REAL SOCIEDAD,0-1,0-0,3.5,5.8,5.8,48,52,9.0,3.0,13.0,1.0,7.0,28.0,78.0,26.0,19.0,16.0,5.0,0.0,0.0,4.0,1.0,7.0,2.0,5.0,19.0,79.0,28.0,26.0,12.0,2.0,1.0,1.0
RAYO VALLECANO,ALAVÉS,1-5,1-2,6.7,4.5,7.9,52,48,7.0,4.0,13.0,2.0,8.0,21.0,83.0,13.0,16.0,14.0,1.0,0.0,1.0,2.0,7.0,11.0,2.0,4.0,17.0,79.0,11.0,19.0,12.0,2.0,0.0,0.0
CELTA,VALLADOLID,3-3,2-1,9.3,6.7,6.7,47,53,3.0,5.0,12.0,4.0,7.0,10.0,81.0,20.0,23.0,9.0,2.0,0.0,0.0,4.0,4.0,14.0,6.0,8.0,17.0,81.0,13.0,13.0,11.0,2.0,0.0,0.0
EIBAR,LEGANÉS,1-0,0-0,3.2,6.2,5.5,57,43,8.0,3.0,14.0,3.0,5.0,27.0,68.0,36.0,15.0,16.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,26.0,58.0,47.0,27.0,17.0,1.0,0.0,0.0
